checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
7943282,81,0,4,5835,371,47,308
7943282,108,2,3,6203,1091,161,4209
7943282,144,4,2,6203,1096,161,13276
7943282,162,1,4,6203,1096,161,18784
7943282,216,3,3,6203,1096,161,39196
7943282,324,2,4,6203,1096,161,97516
7943282,432,4,3,6203,1096,161,179164
7943282,648,3,4,6203,1096,161,412444
7943282,729,0,6,6203,1096,161,523981
7943282,1296,4,4,6203,1096,161,1672156
7943282,19683,0,9,6203,1096,161,387413029
10000000,1,0,0,1,0,0,0
10000000,2,1,0,4,0,0,0
10000000,3,0,1,9,0,0,0
10000000,4,2,0,16,0,0,0
10000000,6,1,1,36,0,0,0
10000000,8,3,0,64,0,0,0
10000000,9,0,2,81,0,0,0
10000000,12,2,1,144,0,0,0
10000000,16,4,0,256,0,0,0
10000000,18,1,2,324,0,0,0
10000000,24,3,1,576,0,0,0
10000000,27,0,3,729,0,0,0
10000000,36,2,2,1296,0,0,0
10000000,48,4,1,2304,0,0,0
10000000,54,1,3,2916,0,0,0
10000000,72,3,2,5137,44,1,2
10000000,81,0,4,5990,338,45,188
10000000,108,2,3,6606,1100,137,3821
10000000,144,4,2,6606,1114,137,12879
10000000,162,1,4,6606,1114,137,18387
10000000,216,3,3,6606,1114,137,38799
10000000,324,2,4,6606,1114,137,97119
10000000,432,4,3,6606,1114,137,178767
10000000,648,3,4,6606,1114,137,412047
10000000,729,0,6,6606,1114,137,523584
10000000,1296,4,4,6606,1114,137,1671759
10000000,19683,0,9,6606,1114,137,387412632
12589254,1,0,0,1,0,0,0
12589254,2,1,0,4,0,0,0
12589254,3,0,1,9,0,0,0
12589254,4,2,0,16,0,0,0
12589254,6,1,1,36,0,0,0
12589254,8,3,0,64,0,0,0
12589254,9,0,2,81,0,0,0
12589254,12,2,1,144,0,0,0
12589254,16,4,0,256,0,0,0
12589254,18,1,2,324,0,0,0
12589254,24,3,1,576,0,0,0
12589254,27,0,3,729,0,0,0
12589254,36,2,2,1296,0,0,0
12589254,48,4,1,2304,0,0,0
12589254,54,1,3,2916,0,0,0
12589254,72,3,2,5157,26,0,1
12589254,81,0,4,6105,302,40,114
12589254,108,2,3,6887,1071,121,3585
12589254,144,4,2,6887,1093,121,12635
12589254,162,1,4,6887,1093,121,18143
12589254,216,3,3,6887,1093,121,38555
12589254,324,2,4,6887,1093,121,96875
12589254,432,4,3,6887,1093,121,178523
12589254,648,3,4,6887,1093,121,411803
12589254,729,0,6,6887,1093,121,523340
12589254,1296,4,4,6887,1093,121,1671515
12589254,19683,0,9,6887,1093,121,387412388
15848932,1,0,0,1,0,0,0
15848932,2,1,0,4,0,0,0
15848932,3,0,1,9,0,0,0
15848932,4,2,0,16,0,0,0
15848932,6,1,1,36,0,0,0
15848932,8,3,0,64,0,0,0
15848932,9,0,2,81,0,0,0
15848932,12,2,1,144,0,0,0
15848932,16,4,0,256,0,0,0
15848932,18,1,2,324,0,0,0
15848932,24,3,1,576,0,0,0
15848932,27,0,3,729,0,0,0
15848932,36,2,2,1296,0,0,0
15848932,48,4,1,2304,0,0,0
15848932,54,1,3,2916,0,0,0
15848932,72,3,2,5172,12,0,0
15848932,81,0,4,6251,237,21,52
15848932,108,2,3,7300,991,64,3309
15848932,144,4,2,7300,1022,64,12350
15848932,162,1,4,7300,1022,64,17858
15848932,216,3,3,7300,1022,64,38270
15848932,324,2,4,7300,1022,64,96590
15848932,432,4,3,7300,1022,64,178238
15848932,648,3,4,7300,1022,64,411518
15848932,729,0,6,7300,1022,64,523055
15848932,1296,4,4,7300,1022,64,1671230
15848932,19683,0,9,7300,1022,64,387412103
19952623,1,0,0,1,0,0,0
19952623,2,1,0,4,0,0,0
19952623,3,0,1,9,0,0,0
19952623,4,2,0,16,0,0,0
19952623,6,1,1,36,0,0,0
19952623,8,3,0,64,0,0,0
19952623,9,0,2,81,0,0,0
19952623,12,2,1,144,0,0,0
19952623,16,4,0,256,0,0,0
19952623,18,1,2,324,0,0,0
19952623,24,3,1,576,0,0,0
19952623,27,0,3,729,0,0,0
19952623,36,2,2,1296,0,0,0
19952623,48,4,1,2304,0,0,0
19952623,54,1,3,2916,0,0,0
19952623,72,3,2,5175,9,0,0
19952623,81,0,4,6330,189,11,31
19952623,108,2,3,7566,963,75,3060
19952623,144,4,2,7564,1015,77,12080
19952623,162,1,4,7564,1015,77,17588
19952623,216,3,3,7564,1015,77,38000
19952623,324,2,4,7564,1015,77,96320
19952623,432,4,3,7564,1015,77,177968
19952623,648,3,4,7564,1015,77,411248
19952623,729,0,6,7564,1015,77,522785
19952623,1296,4,4,7564,1015,77,1670960
19952623,19683,0,9,7564,1015,77,387411833
25118864,1,0,0,1,0,0,0
25118864,2,1,0,4,0,0,0
25118864,3,0,1,9,0,0,0
25118864,4,2,0,16,0,0,0
25118864,6,1,1,36,0,0,0
25118864,8,3,0,64,0,0,0
25118864,9,0,2,81,0,0,0
25118864,12,2,1,144,0,0,0
25118864,16,4,0,256,0,0,0
25118864,18,1,2,324,0,0,0
25118864,24,3,1,576,0,0,0
25118864,27,0,3,729,0,0,0
25118864,36,2,2,1296,0,0,0
25118864,48,4,1,2304,0,0,0
25118864,54,1,3,2916,0,0,0
25118864,72,3,2,5180,4,0,0
25118864,81,0,4,6398,141,4,18
25118864,108,2,3,7789,900,47,2928
25118864,144,4,2,7786,968,50,11932
