residue,class_odd,class_dead,exact_dead,exact_steps,alpha,mod9,mod3
5757,11,0,1,3,2.70304871,6,0
5759,13,0,1,57,24.32743835,8,2
5761,10,1,1,3,0.90101624,1,1
5763,5,1,1,6,0.00370789,3,0
5765,7,1,1,3,0.03337097,5,2
5767,8,1,1,11,0.10011292,7,1
5769,10,1,1,3,0.90101624,0,0
5771,7,1,1,8,0.03337097,2,2
5773,6,1,1,3,0.01112366,4,1
5775,10,1,1,11,0.90101624,6,0
5777,8,1,1,3,0.10011292,8,2
5779,8,1,1,6,0.10011292,1,1
5781,6,1,1,3,0.01112366,3,0
5783,6,1,1,8,0.01112366,5,2
5785,9,1,1,3,0.30033875,7,1
5787,9,1,1,21,0.30033875,0,0
5789,9,1,1,3,0.30033875,2,2
5791,12,0,1,52,8.10914612,4,1
5793,10,1,1,3,0.90101624,6,0
5795,8,1,1,6,0.10011292,8,2
5797,8,1,1,3,0.10011292,1,1
5799,10,1,1,19,0.90101624,3,0
5801,11,0,1,3,2.70304871,5,2
5803,9,1,1,8,0.30033875,7,1
5805,7,1,1,3,0.03337097,0,0
5807,11,0,1,13,2.70304871,2,2
5809,6,1,1,3,0.01112366,4,1
5811,6,1,1,6,0.01112366,6,0
5813,6,1,1,3,0.01112366,8,2
5815,9,1,1,8,0.30033875,1,1
5817,8,1,1,3,0.10011292,3,0
5819,8,1,1,11,0.10011292,5,2
5821,8,1,1,3,0.10011292,7,1
5823,10,1,1,26,0.90101624,0,0
5825,6,1,1,3,0.01112366,2,2
5827,10,1,1,6,0.90101624,4,1
5829,5,1,1,3,0.00370789,6,0
5831,6,1,1,13,0.01112366,8,2
5833,10,1,1,3,0.90101624,1,1
5835,10,1,1,8,0.90101624,3,0
5837,5,1,1,3,0.00370789,5,2
5839,11,0,1,29,2.70304871,7,1
5841,9,1,1,3,0.30033875,0,0
5843,9,1,1,6,0.30033875,2,2
5845,8,1,1,3,0.10011292,4,1
5847,8,1,1,8,0.10011292,6,0
5849,8,1,1,3,0.10011292,8,2
5851,8,1,1,13,0.10011292,1,1
5853,8,1,1,3,0.10011292,3,0
5855,10,1,1,16,0.90101624,5,2
5857,9,1,1,3,0.30033875,7,1
5859,8,1,1,6,0.10011292,0,0
5861,5,1,1,3,0.00370789,2,2
5863,10,1,1,26,0.90101624,4,1
5865,10,1,1,3,0.90101624,6,0
5867,10,1,1,8,0.90101624,8,2
5869,8,1,1,3,0.10011292,1,1
5871,11,0,1,21,2.70304871,3,0
5873,8,1,1,3,0.10011292,5,2
5875,9,1,1,6,0.30033875,7,1
5877,7,1,1,3,0.03337097,0,0
5879,11,0,1,8,2.70304871,2,2
5881,7,1,1,3,0.03337097,4,1
5883,9,1,1,19,0.30033875,6,0
5885,12,0,1,3,8.10914612,8,2
5887,12,0,1,39,8.10914612,1,1
5889,8,1,1,3,0.10011292,3,0
5891,9,1,1,6,0.30033875,5,2
5893,8,1,1,3,0.10011292,7,1
5895,9,1,1,11,0.30033875,0,0
5897,11,0,1,3,2.70304871,2,2
5899,7,1,1,8,0.03337097,4,1
5901,9,1,1,3,0.30033875,6,0
5903,8,1,1,11,0.10011292,8,2
5905,9,1,1,3,0.30033875,1,1
5907,11,0,1,6,2.70304871,3,0
5909,4,1,1,3,0.00123596,5,2
5911,9,1,1,8,0.30033875,7,1
5913,12,0,1,3,8.10914612,0,0
5915,13,0,1,63,24.32743835,2,2
5917,9,1,1,3,0.30033875,4,1
5919,10,1,1,19,0.90101624,6,0
5921,10,1,1,3,0.90101624,8,2
5923,5,1,1,6,0.00370789,1,1
5925,5,1,1,3,0.00370789,3,0
5927,11,0,1,13,2.70304871,5,2
5929,11,0,1,3,2.70304871,7,1
5931,5,1,1,8,0.00370789,0,0
5933,7,1,1,3,0.03337097,2,2
5935,9,1,1,16,0.30033875,4,1
5937,7,1,1,3,0.03337097,6,0
5939,7,1,1,6,0.03337097,8,2
5941,6,1,1,3,0.01112366,1,1
5943,8,1,1,8,0.10011292,3,0
5945,8,1,1,3,0.10011292,5,2
5947,7,1,1,11,0.03337097,7,1
5949,10,1,1,3,0.90101624,0,0
5951,8,1,1,19,0.10011292,2,2
5953,6,1,1,3,0.01112366,4,1
5955,7,1,1,6,0.03337097,6,0
5957,6,1,1,3,0.01112366,8,2
5959,10,1,1,21,0.90101624,1,1
